PAST STATIONS,,,,,,,,,,,,
,,,,,,,,,,,,
Name,Entity,Program,Crew size,Launched,Reentered,"Days
in orbit","Days
occupied","Total crew
and visitors","Number of
manned visits","Number of
unmanned visits",Mass,Pressurized volume
Salyut 1, USSR,DOS[6],3[7],19 April 1971[8],11 October 1971[9],175,24[10],6[11],2[11],0[11],"18,425 kg (40,620 lb)[8]","100 m3(3,500 cu ft)[12]"
DOS-2, USSR,DOS[13],—[a],29 July 1972[8][14],29 July 1972 (failed to reach orbit),—,—,—,—,—,"18,000 kg (40,000 lb)[15]",—
Salyut 2, USSR,Almaz[14],—[a],3 April 1973[14],16 April 1973[14],13[14],—,—,—,—,"18,500 kg (40,800 lb)[16]",—
Kosmos 557, USSR,DOS[17],—[a],11 May 1973[18],22 May 1973[19],11,—,—,—,—,"19,400 kg (42,800 lb)[15]",—
Skylab, NASA,Skylab[20],3[21],14 May 1973[22],11 July 1979[23],2249,171[24],9[25],3[26],0[27],"77,088 kg (169,950 lb)[28]","360 m3(12,700 cu ft)[29]"
Salyut 3, USSR,Almaz[6],2[30],25 May 1974[31],24 January 1975[32],213,15[33],2[33],1[33],0,"18,900 kg (41,700 lb)
(at launch)[34]","90 m3(3,200 cu ft)[17]"
Salyut 4, USSR,DOS[35],2[36],26 December 1974[37],3 February 1977[37],770[37],92[38],4[38],2[38][39],1[38],"18,900 kg (41,700 lb)[17]
(at launch)","90 m3(3,200 cu ft)[17]"
Salyut 5, USSR,Almaz[35],2[40],22 June 1976[41],8 August 1977[42],412,67[43],4[43],3[43],0[43],"19,000 kg (42,000 lb)[17]
(at launch)","100 m3(3,500 cu ft)[17]"
Salyut 6, USSR,DOS[35],2[44],29 September 1977[44],29 July 1982[45],1764,683[46],33[46],16[46],14[46],"9,000 kg (20,000 lb)[47]","90 m3(3,200 cu ft)[48]"
Salyut 7, USSR,DOS[35],3[49],19 April 1982[50],7 February 1991[50],3216[50],861[49],22[49],10[49],15[49],"19,000 kg (42,000 lb)[51]","90 m3(3,200 cu ft)[17]"
Mir," USSR
 RFSA",DOS[52],3[53],19 February 1986[54][b],23 March 2001[23][54],5511[54],4594[55],125[55],39[56],68[55],"129,700 kg (285,900 lb)[57]","350 m3(12,400 cu ft)[58"
,,,,,,,,,,,,
,,,,,,,,,,,,
PROTOTYPES,,,,,,,,,,,,
Name,Entity,Program,Launched,Reentered,Days in orbit,Mass,Pressurized volume,,,,,
OPS 0855,  US Air Force,MOL,3 November 1966[59],9 January 1967[59],67,"9,680 kg (21,340 lb)",11.3 m3 (400 cu ft),,,,,
Genesis I,Bigelow Aerospace,,12 July 2006[60],(In Orbit),2813,"1,360 kg (3,000 lb)[61]",11.5 m3 (410 cu ft)[62],,,,,
Genesis II,Bigelow Aerospace,,28 June 2007[60],(In Orbit),2462,"1,360 kg (3,000 lb)[61]",11.5 m3 (406 cu ft)[62],,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
OPERATIONAL STATIONS,,,,,,,,,,,,
Name,Entity,Crew size,Launched,"Days in
orbit[c]","Days
occupied[d]","Total crew
and visitors[d]","Manned
visits[d]","Unmanned
visits[d]",Mass,"Pressurized
volume",,
ternational Space Station," NASA
 RFSA
  ESA
  CSA
  JAXA",6[63],20 November 1998[63][b],5604,4893[64],209[64],74 [65],69 [65],"471,736 kg (1,040,000 lb)[66]","907 m3(32,000 cu ft)[67]",,
Tiangong 1, CNSA,3[68],29 September 2011[69][70],908,25[71],6[71][72],2[71],1[73],"8,506 kg (18,753 lb)[74]",15 m3 (530 cu ft)[75],,
,,,,,,,,,,,,
,,,,,,,,,,,,
CANCELED PROJECTS,,,,,,,,,,,,
Space station,Entity,Crew size,Launch date,Remarks,,,,,,,,
Manned Orbiting Laboratory 1-7, NASA,2[76],"Mockup launched 3 November 1966[77]
(In orbit 40 days, cancelled after launch)[78]",Canceled due to excessive costs[79],,,,,,,,
Skylab B, NASA,3[80],Between 1975 and 1979 (planned)[81],Canceled due to lack of funding[82],,,,,,,,
Galaxy,(private)[e],Unmanned[83],late 2008 (planned)[83],Canceled due to rising costs and ability to ground test key Galaxy subsystems[84],,,,,,,,
Mir-2, RFSA,2 [85],1993[86],Canceled due to financial difficulties[86],,,,,,,,
Freedom, NASA,14-16[87],March 1994[88],Converted into the International Space Station[88],,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PLANNED STATIONS,,,,,,,,,,,,
Name,Entity,"Planned
crew size","Planned
launch date",,,,,,,,,
Almaz commercial,(private)[f],4 or more[89],2013[90],,,,,,,,,
Tiangong 2,  CNSA,3[91],2015[92],,,,,,,,,
Tiangong 3,  CNSA,3[93],2014 – 2016[94],,,,,,,,,
Space Complex Alpha,(private)[e],3+[95],2015[96],,,,,,,,,
Space Complex Bravo,(private)[e],24[97],2016[98],,,,,,,,,
"Orbital Piloted Assembly and Experiment Complex
(OPSEK)",  RFSA,Unknown,Pre-ISS deorbit[99],,,,,,,,,
"Chinese space station
(to be named at a later date)[100]",  CNSA,3[101],2020[102],,,,,,,,,
